Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,L2CacheHit
8531,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17006,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,91.1542265263
8532,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17025,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8534,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17009,50588,50588,12582912,64,0,16,64,0,48,64,0x0,0x79b1570e47c0,90.1688847083
8535,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,17028,50536,50536,5242880,64,0,16,64,0,48,64,0x0,0x7f198eee0880,None
8537,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17012,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,90.1551622200
8540,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17015,50588,50588,6324224,64,0,16,64,0,48,64,0x0,0x79b1574e8940,90.2435561472
8549,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17042,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.2103267918
8552,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17045,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1474443816
8555,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17048,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,89.7864634981
8558,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17051,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.1823118966
8567,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17060,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.1954239226
8570,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17063,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1298177179
8573,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17066,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,90.3604361949
8576,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17069,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.0781872136
8585,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17078,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.2623719864
8588,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17081,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1314451975
8591,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17084,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,89.8836670558
8594,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17087,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.0101620192
8603,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17096,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8606,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17099,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,None
8608,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17083,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,90.9552684610
8609,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17102,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8611,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17086,50588,50588,12582912,64,0,16,64,0,48,64,0x0,0x79b1570e47c0,90.1131911293
8612,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,17105,50536,50536,5242880,64,0,16,64,0,48,64,0x0,0x7f198eee0880,None
8614,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17089,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,89.8651403689
8617,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17092,50588,50588,6324224,64,0,16,64,0,48,64,0x0,0x79b1574e8940,90.1826998120
8626,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17119,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.2624555605
8629,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17122,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1580887241
8632,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17125,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,89.8511586422
8635,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17128,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.1968505878
8644,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17137,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.1433592505
8647,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17140,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1925978552
8650,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17143,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,90.3646716833
