Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FetchSize,MemUnitBusy,MemUnitStalled,VALUBusy,LDSBankConflict
8701,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17183,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,480029.0000000000,74.7546136265,1.9001163995,63.6397794374,0.0000000000
8710,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17192,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142412.2500000000,73.2987288633,1.2950085928,61.8435074025,0.0000000000
8713,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17195,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,952739.5000000000,76.0509477851,1.8149904781,65.0621558025,0.0000000000
8716,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17198,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429279.1250000000,64.4015973333,0.3765456100,54.4892560666,0.0000000000
8719,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17201,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,479865.0000000000,74.6623176601,1.8362370417,63.7351779147,0.0000000000
8728,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17210,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142341.4375000000,73.1253140706,1.3449755817,61.7303564438,0.0000000000
8731,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17213,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,952776.2500000000,76.1779274136,1.8094705320,65.0586075963,0.0000000000
8734,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17216,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,428490.1875000000,66.5751611879,0.4011801053,55.8042893188,0.0000000000
8737,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17219,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,480065.3750000000,75.0530929630,1.8638548057,63.9469484058,0.0000000000
8746,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17228,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142407.0625000000,73.4942184328,1.3164410291,62.0705258142,0.0000000000
8749,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17231,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,952963.8125000000,76.1610736325,1.8036346956,65.1133831067,0.0000000000
8752,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17234,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429305.2500000000,64.3252627973,0.3823728714,54.6184032922,0.0000000000
8755,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,17237,51856,51856,5242880,64,0,16,64,0,48,64,0x0,0x72a6f76b8880,397618.1875000000,74.8597786859,1.9261279462,63.7376275989,0.0000000000
8769,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17251,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142408.3125000000,73.1729013992,1.3002924913,61.8947632723,0.0000000000
8772,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17254,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953051.9375000000,76.1358566329,1.8285559018,65.2155454614,0.0000000000
8775,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17257,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429095.7500000000,64.9484839575,0.3882274469,54.7218025954,0.0000000000
8778,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17260,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,479945.0000000000,74.8922288294,1.8498424881,63.8051705919,0.0000000000
8787,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17269,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142413.1875000000,73.1182587624,1.3015466546,61.8227907891,0.0000000000
8790,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17272,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953152.8125000000,76.1250459408,1.8045959597,65.1995630309,0.0000000000
8793,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17275,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429157.8750000000,64.8042845591,0.3819317687,54.6662752875,0.0000000000
8796,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17278,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,480189.4375000000,74.8973429599,1.8683346756,63.8280381217,0.0000000000
8805,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17287,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142416.8750000000,73.2338374456,1.2984618884,61.9830215936,0.0000000000
8808,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17290,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953488.8750000000,76.1080734536,1.8173088069,65.1410535816,0.0000000000
8811,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17293,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429229.0000000000,65.1041556746,0.3833123131,54.8728021155,0.0000000000
8814,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17296,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,479982.3750000000,74.9535836750,1.8942185329,63.9351500826,0.0000000000
8823,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17305,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142400.7500000000,73.3948934600,1.3236868791,62.1294370839,0.0000000000
